source,target,weight
"Istanbul, Turkey","Austin, TX, United States",1
"Istanbul, Turkey","Paris, France",3
"Istanbul, Turkey","Lisbon, Portugal",1
"Istanbul, Turkey","Seoul, South Korea",2
"Istanbul, Turkey","Oslo, Norway",2
"Istanbul, Turkey","Beijing, China",2
"Istanbul, Turkey","Jakarta, Indonesia",1
"Istanbul, Turkey","Amsterdam, Netherlands",2
"Istanbul, Turkey","Tokyo, Japan",3
"Istanbul, Turkey","Vienna, Austria",2
"Istanbul, Turkey","Manila, Philippines",1
"Istanbul, Turkey","San Francisco, CA, United States",3
"Istanbul, Turkey",Dubai - United Arab Emirates,2
"Istanbul, Turkey","Nairobi, Kenya",1
"Istanbul, Turkey","Xinyi District, Taiwan",1
"Istanbul, Turkey","Stockholm, Sweden",3
"Istanbul, Turkey","Sydney, Australia",3
"Istanbul, Turkey",Nigeria,1
"Istanbul, Turkey","Gurugram, India",3
"Istanbul, Turkey","Kyiv, Ukraine",1
"Istanbul, Turkey","Zagreb, Croatia",1
"Istanbul, Turkey","Palo Alto, CA, United States",2
"Istanbul, Turkey","Los Angeles, CA, United States",1
"Istanbul, Turkey","Shanghai, China",3
"Istanbul, Turkey","Taipei, Taiwan",1
"Istanbul, Turkey","Wrocław, Poland",2
"Istanbul, Turkey","München, Germany",3
"Istanbul, Turkey","Prague, Czechia",1
"Istanbul, Turkey","Milano, Italy",1
"Istanbul, Turkey","Budapest, Hungary",1
"Istanbul, Turkey","Tel Aviv-Yafo, Israel",3
"Istanbul, Turkey","Perth, Australia",2
"Istanbul, Turkey","Mexico City, Mexico",2
"Istanbul, Turkey","Mountain View, CA, United States",3
"Istanbul, Turkey","Mumbai, India",1
"Istanbul, Turkey","Frankfurt, Germany",2
"Istanbul, Turkey","Johannesburg, South Africa",2
"Istanbul, Turkey","Warszawa, Poland",3
"Istanbul, Turkey","Hamburg, Germany",3
"Istanbul, Turkey","Vilnius, Lithuania",1
"Istanbul, Turkey","Columbus, OH, United States",1
"Istanbul, Turkey","Cambridge, MA, United States",2
"Istanbul, Turkey","Bucharest, Romania",2
"Istanbul, Turkey","Melbourne, Australia",1
"Istanbul, Turkey","Atlanta, GA, United States",1
"Istanbul, Turkey","Seattle, WA, United States",2
"Istanbul, Turkey","Hyderabad, India",2
"Istanbul, Turkey","Madrid, Spain",1
"Istanbul, Turkey","Moscow, ID, United States",1
"Istanbul, Turkey","Zürich, Switzerland",3
"Istanbul, Turkey","New York, NY, United States",3
"Istanbul, Turkey",Hong Kong,2
"Istanbul, Turkey","São Paulo, Brazil",2
"Istanbul, Turkey","Athens, Greece",1
"Istanbul, Turkey","Berlin, Germany",3
"Istanbul, Turkey","Minneapolis, MN, United States",1
"Istanbul, Turkey","Washington, DC, United States",1
"Istanbul, Turkey","Buenos Aires, Argentina",1
"Istanbul, Turkey","Helsinki, Finland",2
"Istanbul, Turkey","Dallas, TX, United States",1
"Istanbul, Turkey","Dublin, Ireland",3
"Istanbul, Turkey","Moskva, Russia",2
"Istanbul, Turkey","København, Denmark",2
"Istanbul, Turkey","Waterloo, ON, Canada",1
"Istanbul, Turkey","San Bruno, CA, United States",1
"Istanbul, Turkey","Chicago, IL, United States",3
"Istanbul, Turkey","London, United Kingdom",3
"Istanbul, Turkey","Etterbeek, Belgium",1
"Istanbul, Turkey","Milan, Italy",3
"Istanbul, Turkey","Sunnyvale, CA, United States",3
"Istanbul, Turkey","Ann Arbor, MI, United States",1
"Istanbul, Turkey","Boulder, CO, United States",1
"Istanbul, Turkey","Bratislava, Slovakia",1
"Istanbul, Turkey","Bogotá, Colombia",1
"Istanbul, Turkey","Kirkland, WA, United States",2
"Istanbul, Turkey","Montreal, QC, Canada",1
"Istanbul, Turkey","Toronto, ON, Canada",1
"Istanbul, Turkey",Singapore,2
"Groningen, Netherlands","Sunnyvale, CA, United States",1
"Groningen, Netherlands","Sydney, Australia",1
"Groningen, Netherlands","Kirkland, WA, United States",1
"Groningen, Netherlands","London, United Kingdom",1
"Groningen, Netherlands","Mountain View, CA, United States",1
"Groningen, Netherlands","The Dalles, OR, United States",1
"Pittsburgh, PA, United States","Austin, TX, United States",1
"Pittsburgh, PA, United States","Bengaluru, India",2
"Pittsburgh, PA, United States","Tokyo, Japan",2
"Pittsburgh, PA, United States","Waterloo, ON, Canada",1
"Pittsburgh, PA, United States","San Francisco, CA, United States",2
"Pittsburgh, PA, United States","San Bruno, CA, United States",2
"Pittsburgh, PA, United States","Cambridge, MA, United States",2
"Pittsburgh, PA, United States","Xinyi District, Taiwan",1
"Pittsburgh, PA, United States","Sydney, Australia",2
"Pittsburgh, PA, United States","Irvine, CA, United States",2
"Pittsburgh, PA, United States","Seattle, WA, United States",2
"Pittsburgh, PA, United States","South San Francisco, CA, United States",1
"Pittsburgh, PA, United States","Seoul, South Korea",1
"Pittsburgh, PA, United States","London, United Kingdom",3
"Pittsburgh, PA, United States","New York, NY, United States",3
"Pittsburgh, PA, United States","Los Angeles, CA, United States",1
"Pittsburgh, PA, United States","Shanghai, China",2
"Pittsburgh, PA, United States","Beijing, China",1
"Pittsburgh, PA, United States","São Paulo, Brazil",1
"Pittsburgh, PA, United States","MG, Brazil",1
"Pittsburgh, PA, United States","Sunnyvale, CA, United States",3
"Pittsburgh, PA, United States","Ann Arbor, MI, United States",1
"Pittsburgh, PA, United States","Boulder, CO, United States",2
"Pittsburgh, PA, United States","München, Germany",1
"Pittsburgh, PA, United States","Dublin, Ireland",2
"Pittsburgh, PA, United States","Kirkland, WA, United States",2
"Pittsburgh, PA, United States","Tel Aviv-Yafo, Israel",2
"Pittsburgh, PA, United States","Mountain View, CA, United States",3
"Pittsburgh, PA, United States",Singapore,2
"The Dalles, OR, United States","Sunnyvale, CA, United States",1
"The Dalles, OR, United States","Sydney, Australia",1
"The Dalles, OR, United States","Kirkland, WA, United States",1
"The Dalles, OR, United States","London, United Kingdom",1
"The Dalles, OR, United States","Mountain View, CA, United States",1
"Jakarta, Indonesia","Austin, TX, United States",1
"Jakarta, Indonesia","Warszawa, Poland",1
"Jakarta, Indonesia","Toronto, ON, Canada",1
"Jakarta, Indonesia","Hamburg, Germany",1
"Jakarta, Indonesia","Melbourne, Australia",1
"Jakarta, Indonesia","Cambridge, MA, United States",1
"Jakarta, Indonesia","Columbus, OH, United States",1
"Jakarta, Indonesia","Paris, France",1
"Jakarta, Indonesia","Atlanta, GA, United States",1
"Jakarta, Indonesia","Moscow, ID, United States",1
"Jakarta, Indonesia","Oslo, Norway",1
"Jakarta, Indonesia","Seoul, South Korea",1
"Jakarta, Indonesia","New York, NY, United States",2
"Jakarta, Indonesia","Zürich, Switzerland",1
"Jakarta, Indonesia",Hong Kong,2
"Jakarta, Indonesia","Beijing, China",2
"Jakarta, Indonesia","São Paulo, Brazil",1
"Jakarta, Indonesia","Berlin, Germany",1
"Jakarta, Indonesia","Minneapolis, MN, United States",1
"Jakarta, Indonesia","Washington, DC, United States",1
"Jakarta, Indonesia","Helsinki, Finland",1
"Jakarta, Indonesia","Dallas, TX, United States",1
"Jakarta, Indonesia","Dublin, Ireland",2
"Jakarta, Indonesia","Moskva, Russia",1
"Jakarta, Indonesia","Tokyo, Japan",1
"Jakarta, Indonesia","Vienna, Austria",1
"Jakarta, Indonesia","København, Denmark",1
"Jakarta, Indonesia","Waterloo, ON, Canada",1
"Jakarta, Indonesia","San Francisco, CA, United States",2
"Jakarta, Indonesia","Chicago, IL, United States",1
"Jakarta, Indonesia","Xinyi District, Taiwan",2
"Jakarta, Indonesia","Stockholm, Sweden",1
"Jakarta, Indonesia","Sydney, Australia",2
"Jakarta, Indonesia","Gurugram, India",1
"Jakarta, Indonesia","Bangkok, Thailand",1
"Jakarta, Indonesia","London, United Kingdom",2
"Jakarta, Indonesia","Los Angeles, CA, United States",2
"Jakarta, Indonesia","Shanghai, China",2
"Jakarta, Indonesia","Taipei, Taiwan",1
"Jakarta, Indonesia","Milan, Italy",1
